Validation_Set,Topics,Alpha,Beta,Coherence,Passes,coherence_cv,coherence_umass
100% Corpus,16.0,0.05,symmetric,,10.0,0.4813602668165753,-0.456454282264226
100% Corpus,16.0,0.05,symmetric,,20.0,0.48182736552536626,-0.47825617775213974
100% Corpus,16.0,0.05,symmetric,,30.0,0.4834866188155045,-0.48717562676036597
100% Corpus,16.0,0.05,symmetric,,40.0,0.48449125521693337,-0.49207072348465003
100% Corpus,17.0,0.05,symmetric,,10.0,0.36783595614605513,-0.6540187014808031
100% Corpus,17.0,0.05,symmetric,,20.0,0.37326533763891645,-0.6755416721655695
100% Corpus,17.0,0.05,symmetric,,30.0,0.37507688517485877,-0.6611494487784709
100% Corpus,17.0,0.05,symmetric,,40.0,0.3815301290770296,-0.6605284617618766
100% Corpus,18.0,0.05,symmetric,,10.0,0.34315884506938876,-0.6535240393045284
100% Corpus,18.0,0.05,symmetric,,20.0,0.35096454927536797,-0.6370454513267162
100% Corpus,18.0,0.05,symmetric,,30.0,0.364729456823717,-0.6540966305822784
100% Corpus,18.0,0.05,symmetric,,40.0,0.3666772005200054,-0.6566572267031128
100% Corpus,19.0,0.05,symmetric,,10.0,0.4159566017973446,-0.4591078637406638
100% Corpus,19.0,0.05,symmetric,,20.0,0.4113290725294913,-0.5455595992363981
100% Corpus,19.0,0.05,symmetric,,30.0,0.41261626151124814,-0.5519684516729123
100% Corpus,19.0,0.05,symmetric,,40.0,0.41352700484391686,-0.5548877750782193
100% Corpus,2.0,symmetric,0.05,,10.0,0.39416324020326254,-0.4713196277756069
100% Corpus,2.0,symmetric,0.05,,20.0,0.3953709611907388,-0.45389412199769674
100% Corpus,2.0,symmetric,0.05,,30.0,0.3953709611907388,-0.4563021405795622
100% Corpus,2.0,symmetric,0.05,,40.0,0.3953709611907388,-0.4562158515721333
100% Corpus,3.0,symmetric,0.05,,10.0,0.3941962437960584,-0.46917332287943797
100% Corpus,3.0,symmetric,0.05,,20.0,0.405149419950142,-0.5097051677997759
100% Corpus,3.0,symmetric,0.05,,30.0,0.4101529753212481,-0.523978264243094
100% Corpus,3.0,symmetric,0.05,,40.0,0.40189253081093906,-0.5181001663349195
100% Corpus,4.0,symmetric,0.05,,10.0,0.35555268045074656,-0.39642512298596994
100% Corpus,4.0,symmetric,0.05,,20.0,0.4040669606623589,-0.4317169698833575
100% Corpus,4.0,symmetric,0.05,,30.0,0.39625423089906886,-0.43715799659211313
100% Corpus,4.0,symmetric,0.05,,40.0,0.39625423089906886,-0.43468620576533024
100% Corpus,5.0,symmetric,0.05,,10.0,0.39962579514352403,-0.3968460751295456
100% Corpus,5.0,symmetric,0.05,,20.0,0.4013874886899519,-0.4663301697223969
100% Corpus,5.0,symmetric,0.05,,30.0,0.4026534538871494,-0.3889793704249507
100% Corpus,5.0,symmetric,0.05,,40.0,0.4010556016026947,-0.3775283315316519
100% Corpus,6.0,symmetric,0.05,,10.0,0.39734853202408593,-0.6005150442788367
100% Corpus,6.0,symmetric,0.05,,20.0,0.3941667144549965,-0.6152078666262789
100% Corpus,6.0,symmetric,0.05,,30.0,0.398455994230227,-0.6033243719606258
100% Corpus,6.0,symmetric,0.05,,40.0,0.39740071558465767,-0.5798704391365436
100% Corpus,7.0,symmetric,0.05,,10.0,0.4100529393373167,-0.6071178228828549
100% Corpus,7.0,symmetric,0.05,,20.0,0.42174901866904096,-0.6491234556761024
100% Corpus,7.0,symmetric,0.05,,30.0,0.4209437370579403,-0.6451636111709418
100% Corpus,7.0,symmetric,0.05,,40.0,0.4209437370579403,-0.6436114633460761
100% Corpus,8.0,symmetric,0.05,,10.0,0.46829801972240515,-0.5087490160230262
100% Corpus,8.0,symmetric,0.05,,20.0,0.47144554157510726,-0.5570543436032058
100% Corpus,8.0,symmetric,0.05,,30.0,0.49109985590395155,-0.49894657245443413
100% Corpus,8.0,symmetric,0.05,,40.0,0.48903394770728315,-0.4697056886708731
100% Corpus,9.0,symmetric,0.05,,10.0,0.4617053438163048,-0.6736990743723879
100% Corpus,9.0,symmetric,0.05,,20.0,0.4556085310132303,-0.6386726168337867
100% Corpus,9.0,symmetric,0.05,,30.0,0.45191368859574915,-0.630678186693189
100% Corpus,9.0,symmetric,0.05,,40.0,0.45716159758812414,-0.6333306552574599
100% Corpus,10.0,symmetric,0.05,,10.0,0.3621680911053845,-0.6775036660805189
100% Corpus,10.0,symmetric,0.05,,20.0,0.36613876030708864,-0.6790064347602804
100% Corpus,10.0,symmetric,0.05,,30.0,0.3635999396549035,-0.6944589503251386
100% Corpus,10.0,symmetric,0.05,,40.0,0.3635999396549035,-0.6904417991905024
100% Corpus,11.0,symmetric,0.05,,10.0,0.4648037854885743,-0.6843891049750916
100% Corpus,11.0,symmetric,0.05,,20.0,0.46564239224800913,-0.6261174469596954
100% Corpus,11.0,symmetric,0.05,,30.0,0.46564239224800913,-0.6223739400450922
100% Corpus,11.0,symmetric,0.05,,40.0,0.4687569455009003,-0.6405468170018745
100% Corpus,12.0,symmetric,0.05,,10.0,0.3599963167501603,-0.5424280894532009
100% Corpus,12.0,symmetric,0.05,,20.0,0.3555673420462404,-0.5343322234956754
100% Corpus,12.0,symmetric,0.05,,30.0,0.35954140708437526,-0.5360723410414462
100% Corpus,12.0,symmetric,0.05,,40.0,0.3634357359325366,-0.5462553827956146
100% Corpus,13.0,symmetric,0.05,,10.0,0.4655039717942783,-0.6780940625594594
100% Corpus,13.0,symmetric,0.05,,20.0,0.4808211267253286,-0.6435119084795831
100% Corpus,13.0,symmetric,0.05,,30.0,0.48019577821521087,-0.6385251407665801
100% Corpus,13.0,symmetric,0.05,,40.0,0.4838896729438428,-0.6500290748582549
100% Corpus,14.0,symmetric,0.05,,10.0,0.4394826020191546,-0.6196124929157063
100% Corpus,14.0,symmetric,0.05,,20.0,0.44388187934164275,-0.5919823847041131
100% Corpus,14.0,symmetric,0.05,,30.0,0.45112162660681426,-0.5687088572140393
100% Corpus,14.0,symmetric,0.05,,40.0,0.454032562523445,-0.5424387444982297
100% Corpus,15.0,symmetric,0.05,,10.0,0.39108498583431717,-0.48332317478932796
100% Corpus,15.0,symmetric,0.05,,20.0,0.39556269208090106,-0.48280251219763526
100% Corpus,15.0,symmetric,0.05,,30.0,0.3900787670388836,-0.4916266248874279
100% Corpus,15.0,symmetric,0.05,,40.0,0.38723781583330513,-0.5158231600219788
100% Corpus,16.0,symmetric,0.05,,10.0,0.48602771931917654,-0.45560780466801465
100% Corpus,16.0,symmetric,0.05,,20.0,0.4828685382775123,-0.46850901263467326
100% Corpus,16.0,symmetric,0.05,,30.0,0.48295500605824204,-0.4765779609494721
100% Corpus,16.0,symmetric,0.05,,40.0,0.4830701634698209,-0.47143244663375833
100% Corpus,17.0,symmetric,0.05,,10.0,0.368298982495606,-0.6620351925432864
100% Corpus,17.0,symmetric,0.05,,20.0,0.37325559231213423,-0.7026618105143916
100% Corpus,17.0,symmetric,0.05,,30.0,0.37330472891306854,-0.7062822413937488
100% Corpus,17.0,symmetric,0.05,,40.0,0.36954978086572937,-0.6960363788412144
100% Corpus,18.0,symmetric,0.05,,10.0,0.3457678164090483,-0.6578748964502492
100% Corpus,18.0,symmetric,0.05,,20.0,0.35498827508280184,-0.6305575166260445
100% Corpus,18.0,symmetric,0.05,,30.0,0.3629104771806435,-0.6587186535200386
100% Corpus,18.0,symmetric,0.05,,40.0,0.36451842152650116,-0.6568433754224515
100% Corpus,19.0,symmetric,0.05,,10.0,0.41640186072867613,-0.46044387447959767
100% Corpus,19.0,symmetric,0.05,,20.0,0.4113290725294913,-0.546990289086274
100% Corpus,19.0,symmetric,0.05,,30.0,0.41352700484391686,-0.553000253261943
100% Corpus,19.0,symmetric,0.05,,40.0,0.4138204840149997,-0.5498693478394184
100% Corpus,2.0,symmetric,symmetric,,10.0,0.3953709611907388,-0.46843694122730284
100% Corpus,2.0,symmetric,symmetric,,20.0,0.38958817217627195,-0.4902685775190228
100% Corpus,2.0,symmetric,symmetric,,30.0,0.38958817217627195,-0.48312214605222875
100% Corpus,2.0,symmetric,symmetric,,40.0,0.38958817217627195,-0.4870601600130191
100% Corpus,3.0,symmetric,symmetric,,10.0,0.4048475602785821,-0.3810841567352559
100% Corpus,3.0,symmetric,symmetric,,20.0,0.39657840755928647,-0.38011688802171356
100% Corpus,3.0,symmetric,symmetric,,30.0,0.39769391607693877,-0.4682075106754818
100% Corpus,3.0,symmetric,symmetric,,40.0,0.39769391607693877,-0.4714773576699873
100% Corpus,4.0,symmetric,symmetric,,10.0,0.3969669686988839,-0.6956688113727889
100% Corpus,4.0,symmetric,symmetric,,20.0,0.39678869375840314,-0.8361094637930027
100% Corpus,4.0,symmetric,symmetric,,30.0,0.4021054036307489,-0.8325066288737817
100% Corpus,4.0,symmetric,symmetric,,40.0,0.3942556340982944,-0.9388109601252833
100% Corpus,5.0,symmetric,symmetric,,10.0,0.38447209442009916,-0.4531496659975513
100% Corpus,5.0,symmetric,symmetric,,20.0,0.38621612590722126,-0.4618526418298049
100% Corpus,5.0,symmetric,symmetric,,30.0,0.37700570654804927,-0.5256847257767813
100% Corpus,5.0,symmetric,symmetric,,40.0,0.37367002882507283,-0.5451996783232984
100% Corpus,6.0,symmetric,symmetric,,10.0,0.40066592830677966,-0.8244770009098636
100% Corpus,6.0,symmetric,symmetric,,20.0,0.40763155194236145,-0.8101893725983041
100% Corpus,6.0,symmetric,symmetric,,30.0,0.39631587742252644,-0.8770478236723772
100% Corpus,6.0,symmetric,symmetric,,40.0,0.3987088148801969,-1.1375479519451943
100% Corpus,7.0,symmetric,symmetric,,10.0,0.4099392847964415,-0.654287512927714
100% Corpus,7.0,symmetric,symmetric,,20.0,0.4178719632986559,-0.629274582497113
100% Corpus,7.0,symmetric,symmetric,,30.0,0.417871963298656,-0.6308248573777611
100% Corpus,7.0,symmetric,symmetric,,40.0,0.41787196329865595,-0.6298654716353563
100% Corpus,8.0,symmetric,symmetric,,10.0,0.483348257141261,-0.5153547377400032
100% Corpus,8.0,symmetric,symmetric,,20.0,0.48767848612555287,-0.4988170321489104
100% Corpus,8.0,symmetric,symmetric,,30.0,0.48607926121491135,-0.49562192285330464
100% Corpus,8.0,symmetric,symmetric,,40.0,0.48366082286050627,-0.6272676018077112
100% Corpus,9.0,symmetric,symmetric,,10.0,0.46571739808580237,-0.6273773666804003
100% Corpus,9.0,symmetric,symmetric,,20.0,0.47750708875467573,-0.658836015597665
100% Corpus,9.0,symmetric,symmetric,,30.0,0.47750708875467573,-0.6524593939279861
100% Corpus,9.0,symmetric,symmetric,,40.0,0.47750708875467585,-0.6498300000324253
100% Corpus,10.0,symmetric,symmetric,,10.0,0.35862012223798356,-0.652260662612665
100% Corpus,10.0,symmetric,symmetric,,20.0,0.3577802197703487,-0.6694810814945286
100% Corpus,10.0,symmetric,symmetric,,30.0,0.3583284620433814,-0.6624308400004705
100% Corpus,10.0,symmetric,symmetric,,40.0,0.3583284620433814,-0.6575700530570503
100% Corpus,11.0,symmetric,symmetric,,10.0,0.47213568978957277,-0.6711752245467592
100% Corpus,11.0,symmetric,symmetric,,20.0,0.46564239224800913,-0.6301091265197809
100% Corpus,11.0,symmetric,symmetric,,30.0,0.46564239224800913,-0.6247502696210104
100% Corpus,11.0,symmetric,symmetric,,40.0,0.46584067562051906,-0.6557689664530859
100% Corpus,12.0,symmetric,symmetric,,10.0,0.3539805436987266,-0.5247665092114079
100% Corpus,12.0,symmetric,symmetric,,20.0,0.35503352456705484,-0.53667414921666
100% Corpus,12.0,symmetric,symmetric,,30.0,0.36092602616186936,-0.536923368183338
100% Corpus,12.0,symmetric,symmetric,,40.0,0.36401009160468306,-0.5387340827996924
100% Corpus,13.0,symmetric,symmetric,,10.0,0.47042918578050946,-0.6497068325491404
100% Corpus,13.0,symmetric,symmetric,,20.0,0.47826824204224316,-0.651667194947271
100% Corpus,13.0,symmetric,symmetric,,30.0,0.4891507213618179,-0.6902316783414488
100% Corpus,13.0,symmetric,symmetric,,40.0,0.4896322461629099,-0.6589550467226459
100% Corpus,14.0,symmetric,symmetric,,10.0,0.439288042567992,-0.6164572391159279
100% Corpus,14.0,symmetric,symmetric,,20.0,0.4432756823623319,-0.5925978799406979
100% Corpus,14.0,symmetric,symmetric,,30.0,0.4481936206663841,-0.5825161971211277
100% Corpus,14.0,symmetric,symmetric,,40.0,0.4543915514716254,-0.5794137911922833
100% Corpus,15.0,symmetric,symmetric,,10.0,0.38643958425648545,-0.47691449784970225
100% Corpus,15.0,symmetric,symmetric,,20.0,0.39315370069474326,-0.49841844334021623
100% Corpus,15.0,symmetric,symmetric,,30.0,0.39600511398932814,-0.5152411525488056
100% Corpus,15.0,symmetric,symmetric,,40.0,0.39432119730229886,-0.5095942105545727
100% Corpus,16.0,symmetric,symmetric,,10.0,0.4813602668165753,-0.4564424802603916
100% Corpus,16.0,symmetric,symmetric,,20.0,0.48182736552536626,-0.4782161052121867
100% Corpus,16.0,symmetric,symmetric,,30.0,0.4825490946364483,-0.4847963724705957
100% Corpus,16.0,symmetric,symmetric,,40.0,0.4841811866976945,-0.4884786948374469
100% Corpus,17.0,symmetric,symmetric,,10.0,0.36783595614605513,-0.6541031939746518
100% Corpus,17.0,symmetric,symmetric,,20.0,0.37326533763891645,-0.6751191650342169
100% Corpus,17.0,symmetric,symmetric,,30.0,0.37507688517485877,-0.6607916250315645
100% Corpus,17.0,symmetric,symmetric,,40.0,0.3815301290770296,-0.6601781824703934
100% Corpus,18.0,symmetric,symmetric,,10.0,0.34315884506938876,-0.6527950318622469
100% Corpus,18.0,symmetric,symmetric,,20.0,0.35014673891752573,-0.6364325298105479
100% Corpus,18.0,symmetric,symmetric,,30.0,0.364729456823717,-0.6528835215917794
100% Corpus,18.0,symmetric,symmetric,,40.0,0.3666772005200054,-0.6563182685421524
100% Corpus,19.0,symmetric,symmetric,,10.0,0.4159566017973446,-0.4589399590859351
100% Corpus,19.0,symmetric,symmetric,,20.0,0.4113290725294913,-0.5455595992363981
100% Corpus,19.0,symmetric,symmetric,,30.0,0.41261626151124814,-0.5522222718202459
100% Corpus,19.0,symmetric,symmetric,,40.0,0.41352700484391686,-0.5548877750782193
