word,proportion in topic 0,proportion in topic 1,proportion in topic 2,proportion in topic 3,proportion in topic 4,p(topic0|word),p(topic1|word),p(topic2|word),p(topic3|word),p(topic4|word)
authentic,0,0,2.7665743e-05,0,2.3515398e-05,0,0,0.5405456420039997,0,0.4594543579960003
synthesise,2.4323692e-05,0,0,0,1.943123e-05,0.5559075521888337,0,0,0,0.4440924478111663
mill,0,0,0,2.5413918e-05,2.3515287e-05,0,0,0,0.5194018093160314,0.4805981906839686
researchgate,2.0663752e-05,0,0,0,0,1.0,0,0,0,0
codebase,8.787369e-05,0,0,0,0,1.0,0,0,0,0
gourmelon,0,0,0,0,2.3515604e-05,0,0,0,0,1.0
bioindicator,2.06647e-05,0,0,0,0,1.0,0,0,0,0
racm,2.0083062e-05,0,0,0,0,1.0,0,0,0,0
ethic,2.1744681e-05,0.0011191466,7.71684e-05,0.008885959,0.00014017128,0.0021226354766044923,0.10924695626337999,0.007532894074970082,0.8674145116011233,0.013683002583922202
complementarily,0,0,1.0548147e-05,0,0,0,0,1.0,0,0
soil,8.687602e-05,0,0,0,0,1.0,0,0,0,0
filling,0,0,1.054875e-05,0,0,0,0,1.0,0,0
mightmean,0,0,0,0,2.3514032e-05,0,0,0,0,1.0
square,0,0,0,6.4498134e-05,6.3234584e-05,0,0,0,0.5049460705965344,0.4950539294034656
misrepresent,2.0160396e-05,0,0,0,0,1.0,0,0,0,0
statement,0.00028712582,0,0.00021535596,0.00029466397,0.00022163191,0.28183364093758895,0,0.21138661481264326,0.28923285500266904,0.2175468892470987
breath,0,0,0,2.5581558e-05,0,0,0,0,1.0,0
encode,0,0,5.043414e-05,9.598899e-05,0,0,0,0.3444410811706866,0.6555589188293134,0
ortsof,0,0,0,0,2.3513987e-05,0,0,0,0,1.0
editing,0,0,1.0003914e-05,0,0,0,0,1.0,0,0
determine,0.00020855348,0,0.00030292565,0.00034223628,0.0001519102,0.20738680461693196,0,0.3012310424562591,0.340321764811815,0.15106038811499395
recognize,0.00029643544,0,9.8263714e-05,0.00036517097,0.0003267916,0.27279458639508025,0,0.09042714194509327,0.3360484339936518,0.30072983766617467
gebber,5.3579915e-05,0,0,0,0,1.0,0,0,0,0
distribute,0.00015403528,0,0.00018080151,0.0007672338,0.0002874576,0.11085437866419771,0,0.1301171945284777,0.5521541744105565,0.2068742523967681
announce,0,0,1.054868e-05,0,9.9905614e-05,0,0,0.09550266793955295,0,0.904497332060447
stick,5.3887532e-05,0,0,0,0,1.0,0,0,0,0
unintuitive,0,0,1.0003885e-05,0,0,0,0,1.0,0,0
erential,0,0,0,0,2.3514074e-05,0,0,0,0,1.0
gs,0,0,9.796635e-05,0,0,0,0,1.0,0,0
colonise,0,0,0,0,0.00068422564,0,0,0,0,1.0
primiparous,0,0,0,2.5581483e-05,0,0,0,0,1.0,0
independent,0.00026986765,0,0.00021367986,0.00012308222,0.00016924598,0.3478233046230194,0,0.2754047510574007,0.15863652069639142,0.21813542362318847
goodland,2.0284479e-05,0,0,0,0,1.0,0,0,0,0
artifice,0,0,0,0,2.3515398e-05,0,0,0,0,1.0
chunk,0,0,2.6570171e-06,4.5157252e-05,0,0,0,0.055569543951437095,0.9444304560485629,0
support,0.003216822,0.0020179017,0.0009310647,0.0011761967,0.0015051664,0.3635997327401583,0.2280849081206461,0.10523892476929153,0.1329463757999337,0.17013005856997038
ep,5.3887943e-05,0,0,0,0,1.0,0,0,0,0
lansiti,1.705834e-05,0,0,0,0,1.0,0,0,0,0
pai,0,0.000103166356,0,0,0,0,1.0,0,0,0
sekiya,0,0,0,6.663069e-05,0,0,0,0,1.0,0
polymerase,0,0,1.0548137e-05,0,0,0,0,1.0,0,0
lable,2.028444e-05,0,0,0,0,1.0,0,0,0,0
mechanized,2.0160127e-05,0,0,0,0,1.0,0,0,0,0
mediumsize,0,0,2.763331e-05,0,0,0,0,1.0,0,0
ecuador,0,0,1.0548157e-05,0,0,0,0,1.0,0,0
mineralization,0,0,0,2.5581458e-05,0,0,0,0,1.0,0
trading_partner,0,0,0.0005039587,0,0,0,0,1.0,0,0
first_step,0.00033794605,0,0.00017976528,2.6127887e-05,0,0.6214080200890783,0,0.3305485760002481,0.048043403910673604,0
foodanalog,0,0,0,0,2.351365e-05,0,0,0,0,1.0
signatorie,0,0,1.0548157e-05,0,0,0,0,1.0,0,0
geostatistical,0,0,0,2.5581458e-05,0,0,0,0,1.0,0
velthuis,0,0,0,0,2.3495091e-05,0,0,0,0,1.0
smedley,0,0,0,0,2.3515579e-05,0,0,0,0,1.0
certifiable,2.0160242e-05,0,0,0,0,1.0,0,0,0,0
icient,0,0,0,0,6.127445e-05,0,0,0,0,1.0
vertical,0,0.00026772363,0.00012582392,8.2796636e-05,0,0,0.5620382045665588,0.2641449678651087,0.17381682756833247,0
brand,0,0,0.00030956624,0,2.351428e-05,0,0,0.929403617500525,0,0.07059638249947497
uneven,0,0,0,2.5581607e-05,2.3495066e-05,0,0,0,0.5212579705714409,0.47874202942855915
universal,0,0,0,0,2.3515064e-05,0,0,0,0,1.0
corroborate,0,0,2.7665717e-05,2.5574556e-05,0,0,0,0.5196389030771307,0.4803610969228693,0
themajority,2.0284479e-05,0,0,0,0,1.0,0,0,0,0
installation,5.3887943e-05,0,0,0,0,1.0,0,0,0,0
powder,0,0,0,2.541387e-05,0,0,0,0,1.0,0
io_ns,0,0,1.0547362e-05,0,0.00048932235,0,0,0.021100221830264096,0,0.978899778169736
postcolonial,0,0,0,0,0.00033341817,0,0,0,0,1.0
data,0.0016995036,0.000104196566,0.0006232042,0.0003622155,0.00030403966,0.5494393632263634,0.033686126935999094,0.20147819931056507,0.11710210759833418,0.09829420292873824
